Date,HomeTeam,FTHG,AwayTeam,FTAG
08.08.2015,Feyenoord,3,Utrecht,2
08.08.2015,Roda,3,Heracles,1
09.08.2015,AZ Alkmaar,0,Ajax,3
09.08.2015,Willem II,1,Vitesse,1
11.08.2015,Den Haag,2,PSV Eindhoven,2
11.08.2015,Heerenveen,3,Graafschap,1
12.08.2015,Groningen,1,Twente,1
12.08.2015,Nijmegen,1,Excelsior,0
12.08.2015,Zwolle,2,Cambuur,2
14.08.2015,Vitesse,3,Roda,0
15.08.2015,Ajax,3,Willem II,0
15.08.2015,Excelsior,2,AZ Alkmaar,2
15.08.2015,Graafschap,0,Zwolle,3
15.08.2015,Twente,1,Den Haag,4
16.08.2015,Cambuur,0,Feyenoord,2
16.08.2015,Heracles,3,Nijmegen,0
16.08.2015,PSV Eindhoven,2,Groningen,0
16.08.2015,Utrecht,1,Heerenveen,1
21.08.2015,Groningen,2,Excelsior,0
22.08.2015,Cambuur,1,Heracles,6
22.08.2015,Heerenveen,1,PSV Eindhoven,1
22.08.2015,Roda,1,Graafschap,0
23.08.2015,AZ Alkmaar,0,Willem II,0
23.08.2015,Den Haag,1,Utrecht,1
23.08.2015,Feyenoord,2,Vitesse,0
23.08.2015,Nijmegen,0,Ajax,2
23.08.2015,Zwolle,2,Twente,1
28.08.2015,Willem II,0,Nijmegen,1
29.08.2015,Excelsior,3,Graafschap,0
29.08.2015,Heerenveen,1,Zwolle,1
29.08.2015,Heracles,2,Twente,0
29.08.2015,Utrecht,2,Groningen,0
30.08.2015,Ajax,4,Den Haag,0
30.08.2015,AZ Alkmaar,0,Roda,1
30.08.2015,PSV Eindhoven,3,Feyenoord,1
30.08.2015,Vitesse,4,Cambuur,1
12.09.2015,Cambuur,0,PSV Eindhoven,6
12.09.2015,Graafschap,1,AZ Alkmaar,3
12.09.2015,Roda,0,Nijmegen,0
12.09.2015,Twente,2,Ajax,2
12.09.2015,Zwolle,3,Excelsior,0
13.09.2015,Den Haag,0,Heracles,1
13.09.2015,Feyenoord,1,Willem II,0
13.09.2015,Groningen,3,Heerenveen,1
13.09.2015,Utrecht,2,Vitesse,1
18.09.2015,Nijmegen,2,Heerenveen,0
19.09.2015,Cambuur,0,Twente,0
19.09.2015,Heracles,2,PSV Eindhoven,1
19.09.2015,Willem II,3,Utrecht,1
19.09.2015,Zwolle,2,Den Haag,1
20.09.2015,Excelsior,0,Ajax,2
20.09.2015,Groningen,2,AZ Alkmaar,0
20.09.2015,Roda,1,Feyenoord,1
20.09.2015,Vitesse,3,Graafschap,0
26.09.2015,Ajax,2,Groningen,0
26.09.2015,AZ Alkmaar,3,Heracles,1
26.09.2015,Heerenveen,0,Vitesse,0
26.09.2015,PSV Eindhoven,2,Nijmegen,1
26.09.2015,Utrecht,3,Cambuur,3
27.09.2015,Den Haag,3,Excelsior,3
27.09.2015,Feyenoord,2,Zwolle,0
27.09.2015,Graafschap,2,Willem II,2
27.09.2015,Twente,2,Roda,1
02.10.2015,Heracles,2,Heerenveen,0
03.10.2015,Excelsior,1,Utrecht,0
03.10.2015,Nijmegen,4,Den Haag,1
03.10.2015,Roda,1,Cambuur,1
03.10.2015,Willem II,0,Zwolle,1
04.10.2015,Ajax,1,PSV Eindhoven,2
04.10.2015,AZ Alkmaar,3,Twente,1
04.10.2015,Graafschap,1,Feyenoord,2
04.10.2015,Vitesse,5,Groningen,0
17.10.2015,Cambuur,1,AZ Alkmaar,1
17.10.2015,Groningen,2,Willem II,1
17.10.2015,Heracles,0,Ajax,2
17.10.2015,PSV Eindhoven,1,Excelsior,1
17.10.2015,Utrecht,1,Roda,1
18.10.2015,Den Haag,1,Graafschap,1
18.10.2015,Heerenveen,2,Feyenoord,5
18.10.2015,Twente,1,Nijmegen,0
18.10.2015,Zwolle,1,Vitesse,5
23.10.2015,Zwolle,1,Utrecht,2
24.10.2015,Graafschap,0,Heracles,1
24.10.2015,Roda,1,Excelsior,2
24.10.2015,Twente,1,PSV Eindhoven,3
24.10.2015,Willem II,2,Heerenveen,2
25.10.2015,Cambuur,1,Den Haag,1
25.10.2015,Feyenoord,3,AZ Alkmaar,1
25.10.2015,Nijmegen,1,Groningen,1
25.10.2015,Vitesse,1,Ajax,3
30.10.2015,Heracles,2,Willem II,1
31.10.2015,Ajax,6,Roda,0
31.10.2015,Excelsior,0,Vitesse,3
31.10.2015,Graafschap,3,PSV Eindhoven,6
31.10.2015,Groningen,2,Zwolle,0
01.11.2015,AZ Alkmaar,2,Nijmegen,4
01.11.2015,Den Haag,1,Feyenoord,0
01.11.2015,Heerenveen,2,Cambuur,0
01.11.2015,Utrecht,4,Twente,2
06.11.2015,Roda,1,Den Haag,1
07.11.2015,Nijmegen,2,Graafschap,0
07.11.2015,Twente,1,Heerenveen,4
07.11.2015,Willem II,2,Excelsior,3
07.11.2015,Zwolle,1,Heracles,1
08.11.2015,Cambuur,2,Groningen,2
08.11.2015,Feyenoord,1,Ajax,1
08.11.2015,PSV Eindhoven,3,Utrecht,1
08.11.2015,Vitesse,0,AZ Alkmaar,2
21.11.2015,Ajax,5,Cambuur,1
21.11.2015,AZ Alkmaar,3,Heerenveen,1
21.11.2015,Graafschap,1,Groningen,2
21.11.2015,Roda,0,Zwolle,5
21.11.2015,Willem II,2,PSV Eindhoven,2
22.11.2015,Den Haag,2,Vitesse,2
22.11.2015,Feyenoord,5,Twente,0
22.11.2015,Heracles,0,Excelsior,0
22.11.2015,Nijmegen,1,Utrecht,0
27.11.2015,Cambuur,2,Graafschap,3
