Date,HomeTeam,FTHG,AwayTeam,FTAG
07.08.2015,Lille,0,Paris SG,1
08.08.2015,Bastia,2,Rennes,1
08.08.2015,Marseille,0,Caen,1
08.08.2015,Montpellier,0,Angers,2
08.08.2015,Nantes,1,Guingamp,0
08.08.2015,Nice,1,Monaco,2
08.08.2015,Troyes,0,Ajaccio GFCO,0
09.08.2015,Bordeaux,1,Reims,2
09.08.2015,Lyon,0,Lorient,0
09.08.2015,Toulouse,2,St Etienne,1
14.08.2015,Monaco,0,Lille,0
15.08.2015,Angers,0,Nantes,0
15.08.2015,Caen,1,Toulouse,0
15.08.2015,Guingamp,0,Lyon,1
15.08.2015,Rennes,1,Montpellier,0
15.08.2015,St Etienne,1,Bordeaux,1
15.08.2015,Troyes,3,Nice,3
16.08.2015,Lorient,1,Bastia,1
16.08.2015,Paris SG,2,Ajaccio GFCO,0
16.08.2015,Reims,1,Marseille,0
21.08.2015,Montpellier,0,Paris SG,1
22.08.2015,Ajaccio GFCO,0,Angers,2
22.08.2015,Bastia,3,Guingamp,0
22.08.2015,Lyon,1,Rennes,2
22.08.2015,Nantes,1,Reims,0
22.08.2015,Nice,2,Caen,1
22.08.2015,Toulouse,1,Monaco,1
23.08.2015,Lille,0,Bordeaux,0
23.08.2015,Lorient,0,St Etienne,1
23.08.2015,Marseille,6,Troyes,0
28.08.2015,Guingamp,2,Marseille,0
29.08.2015,Angers,1,Nice,1
29.08.2015,Caen,0,Lyon,4
29.08.2015,Lille,1,Ajaccio GFCO,0
29.08.2015,Reims,4,Lorient,1
29.08.2015,Rennes,3,Toulouse,1
29.08.2015,Troyes,0,Montpellier,0
30.08.2015,Bordeaux,2,Nantes,0
30.08.2015,Monaco,0,Paris SG,3
30.08.2015,St Etienne,2,Bastia,1
11.09.2015,Paris SG,2,Bordeaux,2
12.09.2015,Lorient,3,Angers,1
12.09.2015,Lyon,0,Lille,0
12.09.2015,Montpellier,1,St Etienne,2
12.09.2015,Nice,0,Guingamp,1
12.09.2015,Toulouse,2,Reims,2
12.09.2015,Troyes,1,Caen,3
13.09.2015,Ajaccio GFCO,0,Monaco,1
13.09.2015,Marseille,4,Bastia,1
13.09.2015,Nantes,0,Rennes,2
18.09.2015,Rennes,1,Lille,1
19.09.2015,Angers,1,Troyes,0
19.09.2015,Bastia,1,Nice,3
19.09.2015,Caen,2,Montpellier,1
19.09.2015,Guingamp,2,Ajaccio GFCO,1
