Date,HomeTeam,FTHG,AwayTeam,FTAG
14.08.2015,Bayern Munich,5,Hamburg,0
15.08.2015,Augsburg,0,Hertha,1
15.08.2015,Darmstadt,2,Hannover,2
15.08.2015,Dortmund,4,M'gladbach,0
15.08.2015,Leverkusen,2,Hoffenheim,1
15.08.2015,Mainz,0,Ingolstadt,1
15.08.2015,Werder Bremen,0,Schalke 04,3
16.08.2015,Stuttgart,1,FC Koln,3
16.08.2015,Wolfsburg,2,Ein Frankfurt,1
21.08.2015,Hertha,1,Werder Bremen,1
22.08.2015,Ein Frankfurt,1,Augsburg,1
22.08.2015,FC Koln,1,Wolfsburg,1
22.08.2015,Hamburg,3,Stuttgart,2
22.08.2015,Hannover,0,Leverkusen,1
22.08.2015,Hoffenheim,1,Bayern Munich,2
22.08.2015,Schalke 04,1,Darmstadt,1
23.08.2015,Ingolstadt,0,Dortmund,4
23.08.2015,M'gladbach,1,Mainz,2
28.08.2015,Wolfsburg,3,Schalke 04,0
29.08.2015,Augsburg,0,Ingolstadt,1
29.08.2015,Bayern Munich,3,Leverkusen,0
29.08.2015,Darmstadt,0,Hoffenheim,0
29.08.2015,FC Koln,2,Hamburg,1
29.08.2015,Mainz,3,Hannover,0
29.08.2015,Stuttgart,1,Ein Frankfurt,4
30.08.2015,Dortmund,3,Hertha,1
30.08.2015,Werder Bremen,2,M'gladbach,1
11.09.2015,M'gladbach,0,Hamburg,3
12.09.2015,Bayern Munich,2,Augsburg,1
12.09.2015,Ein Frankfurt,6,FC Koln,2
12.09.2015,Hannover,2,Dortmund,4
12.09.2015,Hertha,2,Stuttgart,1
12.09.2015,Ingolstadt,0,Wolfsburg,0
12.09.2015,Leverkusen,0,Darmstadt,1
13.09.2015,Hoffenheim,1,Werder Bremen,3
13.09.2015,Schalke 04,2,Mainz,1
18.09.2015,Mainz,3,Hoffenheim,1
19.09.2015,Darmstadt,0,Bayern Munich,3
19.09.2015,FC Koln,1,M'gladbach,0
19.09.2015,Hamburg,0,Ein Frankfurt,0
