Date,HomeTeam,FTHG,AwayTeam,FTAG
22.08.2015,AEK,3,Platanias,0
22.08.2015,Kallonis,0,Iraklis,1
22.08.2015,Panthrakikos,0,Asteras Tripolis,2
23.08.2015,Atromitos,1,Levadeiakos,0
23.08.2015,Olympiakos,3,Panionios,0
23.08.2015,PAOK,0,Xanthi,0
23.08.2015,Veria,1,Giannina,1
24.08.2015,Panetolikos,1,Panathinaikos,2
29.08.2015,Levadeiakos,0,Olympiakos,2
29.08.2015,Panthrakikos,0,Veria,2
29.08.2015,Xanthi,0,AEK,0
30.08.2015,Asteras Tripolis,0,Panetolikos,2
30.08.2015,Giannina,3,PAOK,1
30.08.2015,Iraklis,0,Panionios,1
30.08.2015,Panathinaikos,4,Kallonis,0
31.08.2015,Platanias,1,Atromitos,2
12.09.2015,Kallonis,1,Asteras Tripolis,1
12.09.2015,Olympiakos,3,Platanias,1
12.09.2015,Veria,0,PAOK,3
13.09.2015,AEK,3,Giannina,1
13.09.2015,Atromitos,0,Xanthi,1
13.09.2015,Panetolikos,1,Panthrakikos,0
13.09.2015,Panionios,1,Panathinaikos,0
14.09.2015,Iraklis,0,Levadeiakos,1
22.09.2015,Panetolikos,1,Veria,1
22.09.2015,Platanias,0,Iraklis,0
22.09.2015,Xanthi,1,Olympiakos,3
23.09.2015,Asteras Tripolis,2,Panionios,1
23.09.2015,Giannina,1,Atromitos,0
23.09.2015,Panathinaikos,3,Levadeiakos,0
23.09.2015,Panthrakikos,0,Kallonis,0
23.09.2015,PAOK,2,AEK,1
26.09.2015,Iraklis,1,Xanthi,1
26.09.2015,Kallonis,5,Panetolikos,1
26.09.2015,Olympiakos,5,Giannina,1
27.09.2015,Atromitos,1,PAOK,2
27.09.2015,Levadeiakos,2,Asteras Tripolis,1
27.09.2015,Panathinaikos,1,Platanias,0
27.09.2015,Panionios,1,Panthrakikos,1
28.09.2015,Veria,1,AEK,2
03.10.2015,Panetolikos,1,Panionios,5
03.10.2015,Panthrakikos,1,Levadeiakos,3
03.10.2015,Xanthi,0,Panathinaikos,1
04.10.2015,AEK,1,Atromitos,0
04.10.2015,Giannina,2,Iraklis,2
04.10.2015,Kallonis,0,Veria,1
04.10.2015,PAOK,0,Olympiakos,2
05.10.2015,Asteras Tripolis,1,Platanias,1
17.10.2015,Olympiakos,4,AEK,0
17.10.2015,Panionios,2,Kallonis,0
17.10.2015,Platanias,4,Panthrakikos,0
18.10.2015,Asteras Tripolis,1,Xanthi,1
18.10.2015,Iraklis,3,PAOK,3
18.10.2015,Levadeiakos,2,Panetolikos,2
18.10.2015,Veria,0,Atromitos,1
19.10.2015,Panathinaikos,3,Giannina,1
24.10.2015,AEK,5,Iraklis,1
24.10.2015,Kallonis,0,Levadeiakos,0
24.10.2015,Panetolikos,1,Platanias,2
25.10.2015,Atromitos,1,Olympiakos,2
25.10.2015,Giannina,1,Asteras Tripolis,2
25.10.2015,Panionios,0,Veria,1
25.10.2015,Panthrakikos,0,Xanthi,0
25.10.2015,PAOK,3,Panathinaikos,1
31.10.2015,Levadeiakos,0,Panionios,2
31.10.2015,Platanias,2,Kallonis,1
31.10.2015,Veria,0,Olympiakos,2
01.11.2015,Asteras Tripolis,2,PAOK,1
01.11.2015,Giannina,2,Panthrakikos,0
01.11.2015,Panathinaikos,0,AEK,0
01.11.2015,Xanthi,3,Panetolikos,1
02.11.2015,Iraklis,2,Atromitos,0
07.11.2015,Atromitos,1,Panathinaikos,2
07.11.2015,Kallonis,2,Xanthi,2
07.11.2015,Panionios,2,Platanias,1
08.11.2015,AEK,0,Asteras Tripolis,1
08.11.2015,Levadeiakos,1,Veria,1
08.11.2015,Olympiakos,2,Iraklis,0
08.11.2015,PAOK,3,Panthrakikos,3
09.11.2015,Panetolikos,2,Giannina,1
21.11.2015,Asteras Tripolis,1,Atromitos,0
21.11.2015,Giannina,2,Kallonis,1
21.11.2015,Panathinaikos,0,Olympiakos,3
22.11.2015,Panthrakikos,1,AEK,2
22.11.2015,PAOK,0,Panetolikos,0
22.11.2015,Platanias,2,Levadeiakos,1
22.11.2015,Xanthi,2,Panionios,0
23.11.2015,Veria,0,Iraklis,0
28.11.2015,Atromitos,1,Panthrakikos,2
28.11.2015,Iraklis,1,Panathinaikos,0
28.11.2015,Panionios,2,Giannina,0
29.11.2015,AEK,2,Panetolikos,0
29.11.2015,Levadeiakos,1,Xanthi,0
29.11.2015,Olympiakos,3,Asteras Tripolis,1
29.11.2015,Platanias,0,Veria,0
30.11.2015,Kallonis,1,PAOK,3
05.12.2015,Asteras Tripolis,1,Iraklis,2
05.12.2015,Panthrakikos,3,Olympiakos,4
05.12.2015,Xanthi,0,Platanias,2
06.12.2015,AEK,3,Kallonis,0
06.12.2015,Giannina,0,Levadeiakos,1
06.12.2015,PAOK,2,Panionios,1
06.12.2015,Veria,0,Panathinaikos,1
07.12.2015,Panetolikos,1,Atromitos,1
12.12.2015,Iraklis,0,Panthrakikos,0
12.12.2015,Panionios,1,AEK,1
12.12.2015,Platanias,0,Giannina,1
13.12.2015,Atromitos,1,Kallonis,0
13.12.2015,Olympiakos,1,Panetolikos,0
13.12.2015,Panathinaikos,2,Asteras Tripolis,0
13.12.2015,Xanthi,1,Veria,1
14.12.2015,Levadeiakos,0,PAOK,0
19.12.2015,Atromitos,1,Panionios,0
19.12.2015,Kallonis,0,Olympiakos,2
19.12.2015,Veria,1,Asteras Tripolis,0
20.12.2015,Giannina,1,Xanthi,1
20.12.2015,Panetolikos,2,Iraklis,0
20.12.2015,Panthrakikos,1,Panathinaikos,0
20.12.2015,PAOK,1,Platanias,0
21.12.2015,AEK,1,Levadeiakos,2
02.01.2016,Asteras Tripolis,4,Panthrakikos,0
02.01.2016,Giannina,2,Veria,0
02.01.2016,Iraklis,3,Kallonis,0
03.01.2016,Panionios,1,Olympiakos,3
03.01.2016,Platanias,0,AEK,3
04.01.2016,Panathinaikos,4,Panetolikos,2
09.01.2016,AEK,2,Xanthi,1
09.01.2016,Atromitos,0,Platanias,0
09.01.2016,Veria,0,Panthrakikos,0
10.01.2016,Olympiakos,3,Levadeiakos,1
10.01.2016,Panetolikos,2,Asteras Tripolis,1
10.01.2016,Panionios,1,Iraklis,0
10.01.2016,PAOK,3,Giannina,1
11.01.2016,Kallonis,0,Panathinaikos,2
16.01.2016,Levadeiakos,1,Iraklis,1
16.01.2016,Panthrakikos,0,Panetolikos,0
16.01.2016,Xanthi,2,Atromitos,2
17.01.2016,Asteras Tripolis,3,Kallonis,1
17.01.2016,Giannina,0,AEK,2
17.01.2016,Panathinaikos,0,Panionios,0
17.01.2016,PAOK,2,Veria,1
18.01.2016,Platanias,1,Olympiakos,1
20.01.2016,Xanthi,1,PAOK,1
23.01.2016,Kallonis,2,Panthrakikos,0
23.01.2016,Olympiakos,1,Xanthi,0
23.01.2016,Panionios,0,Asteras Tripolis,0
24.01.2016,AEK,1,PAOK,0
24.01.2016,Atromitos,0,Giannina,2
24.01.2016,Levadeiakos,0,Panathinaikos,2
24.01.2016,Veria,0,Panetolikos,1
25.01.2016,Iraklis,0,Platanias,0
30.01.2016,Panetolikos,1,Kallonis,0
30.01.2016,Panthrakikos,0,Panionios,1
30.01.2016,PAOK,1,Atromitos,1
31.01.2016,AEK,3,Veria,0
31.01.2016,Asteras Tripolis,2,Levadeiakos,0
31.01.2016,Giannina,0,Olympiakos,3
31.01.2016,Platanias,2,Panathinaikos,3
31.01.2016,Xanthi,2,Iraklis,0
06.02.2016,Levadeiakos,1,Panthrakikos,1
06.02.2016,Panathinaikos,0,Xanthi,1
06.02.2016,Platanias,2,Asteras Tripolis,0
07.02.2016,Atromitos,1,AEK,0
07.02.2016,Iraklis,1,Giannina,0
07.02.2016,Olympiakos,1,PAOK,0
07.02.2016,Veria,2,Kallonis,0
08.02.2016,Panionios,2,Panetolikos,0
13.02.2016,AEK,1,Olympiakos,0
13.02.2016,Atromitos,0,Veria,0
13.02.2016,Panthrakikos,0,Platanias,2
