Date,HomeTeam,FTHG,AwayTeam,FTAG
22.08.2015,Lazio,2,Bologna,1
22.08.2015,Verona,1,Roma,1
23.08.2015,Empoli,1,Chievo,3
23.08.2015,Fiorentina,2,Milan,0
23.08.2015,Frosinone,1,Torino,2
23.08.2015,Inter,1,Atalanta,0
23.08.2015,Juventus,0,Udinese,1
23.08.2015,Palermo,1,Genoa,0
23.08.2015,Sampdoria,5,Carpi,2
23.08.2015,Sassuolo,2,Napoli,1
29.08.2015,Bologna,0,Sassuolo,1
29.08.2015,Milan,2,Empoli,1
30.08.2015,Atalanta,2,Frosinone,0
30.08.2015,Carpi,1,Inter,2
30.08.2015,Chievo,4,Lazio,0
30.08.2015,Genoa,2,Verona,0
30.08.2015,Napoli,2,Sampdoria,2
30.08.2015,Roma,2,Juventus,1
30.08.2015,Torino,3,Fiorentina,1
30.08.2015,Udinese,0,Palermo,1
12.09.2015,Fiorentina,1,Genoa,0
12.09.2015,Frosinone,0,Roma,2
12.09.2015,Juventus,1,Chievo,1
13.09.2015,Empoli,2,Napoli,2
13.09.2015,Inter,1,Milan,0
13.09.2015,Lazio,2,Udinese,0
13.09.2015,Palermo,2,Carpi,2
13.09.2015,Sassuolo,2,Atalanta,2
13.09.2015,Verona,2,Torino,2
14.09.2015,Sampdoria,2,Bologna,0
19.09.2015,Milan,3,Palermo,2
19.09.2015,Udinese,1,Empoli,2
20.09.2015,Atalanta,1,Verona,1
20.09.2015,Bologna,1,Frosinone,0
20.09.2015,Carpi,0,Fiorentina,1
20.09.2015,Chievo,0,Inter,1
20.09.2015,Genoa,0,Juventus,2
20.09.2015,Napoli,5,Lazio,0
20.09.2015,Roma,2,Sassuolo,2
20.09.2015,Torino,2,Sampdoria,0
22.09.2015,Udinese,2,Milan,3
23.09.2015,Carpi,0,Napoli,0
23.09.2015,Chievo,1,Torino,0
23.09.2015,Fiorentina,2,Bologna,0
23.09.2015,Inter,1,Verona,0
23.09.2015,Juventus,1,Frosinone,1
23.09.2015,Lazio,2,Genoa,0
23.09.2015,Palermo,0,Sassuolo,1
23.09.2015,Sampdoria,2,Roma,1
24.09.2015,Empoli,0,Atalanta,1
26.09.2015,Napoli,2,Juventus,1
26.09.2015,Roma,5,Carpi,1
27.09.2015,Bologna,1,Udinese,2
27.09.2015,Genoa,1,Milan,0
27.09.2015,Inter,1,Fiorentina,4
27.09.2015,Sassuolo,1,Chievo,1
27.09.2015,Torino,2,Palermo,1
27.09.2015,Verona,1,Lazio,2
28.09.2015,Atalanta,2,Sampdoria,1
28.09.2015,Frosinone,2,Empoli,0
03.10.2015,Carpi,2,Torino,1
03.10.2015,Chievo,1,Verona,1
04.10.2015,Empoli,1,Sassuolo,0
04.10.2015,Fiorentina,3,Atalanta,0
04.10.2015,Juventus,3,Bologna,1
04.10.2015,Lazio,2,Frosinone,0
04.10.2015,Milan,0,Napoli,4
04.10.2015,Palermo,2,Roma,4
04.10.2015,Sampdoria,1,Inter,1
04.10.2015,Udinese,1,Genoa,1
17.10.2015,Roma,3,Empoli,1
17.10.2015,Torino,1,Milan,1
18.10.2015,Atalanta,3,Carpi,0
18.10.2015,Bologna,0,Palermo,1
18.10.2015,Frosinone,2,Sampdoria,0
18.10.2015,Genoa,3,Chievo,2
18.10.2015,Inter,0,Juventus,0
18.10.2015,Napoli,2,Fiorentina,1
18.10.2015,Sassuolo,2,Lazio,1
18.10.2015,Verona,1,Udinese,1
24.10.2015,Carpi,1,Bologna,2
24.10.2015,Empoli,2,Genoa,0
24.10.2015,Palermo,1,Inter,1
25.10.2015,Chievo,0,Napoli,1
25.10.2015,Fiorentina,1,Roma,2
25.10.2015,Juventus,2,Atalanta,0
25.10.2015,Lazio,3,Torino,0
25.10.2015,Milan,2,Sassuolo,1
25.10.2015,Sampdoria,4,Verona,1
25.10.2015,Udinese,1,Frosinone,0
27.10.2015,Bologna,0,Inter,1
28.10.2015,Atalanta,2,Lazio,1
28.10.2015,Frosinone,2,Carpi,1
28.10.2015,Milan,1,Chievo,0
28.10.2015,Napoli,2,Palermo,0
28.10.2015,Roma,3,Udinese,1
28.10.2015,Sassuolo,1,Juventus,0
28.10.2015,Torino,3,Genoa,3
28.10.2015,Verona,0,Fiorentina,2
29.10.2015,Sampdoria,1,Empoli,1
31.10.2015,Inter,1,Roma,0
31.10.2015,Juventus,2,Torino,1
01.11.2015,Bologna,3,Atalanta,0
01.11.2015,Carpi,0,Verona,0
01.11.2015,Fiorentina,4,Frosinone,1
01.11.2015,Genoa,0,Napoli,0
01.11.2015,Lazio,1,Milan,3
01.11.2015,Udinese,0,Sassuolo,0
02.11.2015,Chievo,1,Sampdoria,1
