Date,HomeTeam,FTHG,AwayTeam,FTAG
14.08.2015,Tondela,1,Sp Lisbon,2
15.08.2015,Belenenses,3,Rio Ave,3
15.08.2015,Porto,3,Guimaraes,0
16.08.2015,Benfica,4,Estoril,0
16.08.2015,Moreirense,0,Arouca,2
16.08.2015,Setubal,2,Boavista,2
16.08.2015,Sp Braga,2,Nacional,1
16.08.2015,Uniao Madeira,2,Maritimo,1
17.08.2015,Pacos Ferreira,1,Academica,0
21.08.2015,Rio Ave,1,Sp Braga,0
22.08.2015,Maritimo,1,Porto,1
22.08.2015,Sp Lisbon,1,Pacos Ferreira,1
23.08.2015,Arouca,1,Benfica,0
23.08.2015,Boavista,1,Tondela,0
23.08.2015,Estoril,2,Moreirense,0
23.08.2015,Guimaraes,1,Belenenses,1
23.08.2015,Nacional,1,Uniao Madeira,0
24.08.2015,Academica,0,Setubal,4
29.08.2015,Benfica,3,Moreirense,2
29.08.2015,Porto,2,Estoril,0
29.08.2015,Setubal,2,Rio Ave,2
30.08.2015,Academica,1,Sp Lisbon,3
30.08.2015,Pacos Ferreira,1,Arouca,1
30.08.2015,Sp Braga,4,Boavista,0
30.08.2015,Tondela,1,Nacional,0
31.08.2015,Belenenses,1,Maritimo,1
31.08.2015,Uniao Madeira,0,Guimaraes,0
11.09.2015,Benfica,6,Belenenses,0
12.09.2015,Arouca,1,Porto,3
12.09.2015,Estoril,1,Sp Braga,0
13.09.2015,Guimaraes,1,Tondela,0
13.09.2015,Maritimo,5,Setubal,2
13.09.2015,Moreirense,0,Uniao Madeira,0
13.09.2015,Nacional,2,Academica,0
13.09.2015,Rio Ave,1,Sp Lisbon,2
14.09.2015,Boavista,0,Pacos Ferreira,1
18.09.2015,Setubal,2,Guimaraes,2
19.09.2015,Pacos Ferreira,0,Rio Ave,3
19.09.2015,Tondela,0,Estoril,1
20.09.2015,Academica,0,Boavista,2
20.09.2015,Porto,1,Benfica,0
20.09.2015,Uniao Madeira,0,Arouca,0
21.09.2015,Belenenses,2,Moreirense,0
21.09.2015,Sp Braga,5,Maritimo,1
