Date,HomeTeam,FTHG,AwayTeam,FTAG
01.08.2015,Celtic,2,Ross County,0
01.08.2015,Hamilton,0,Partick,0
01.08.2015,Inverness C,0,Motherwell,1
01.08.2015,Kilmarnock,0,Dundee,4
02.08.2015,Dundee United,0,Aberdeen,1
02.08.2015,Hearts,4,St Johnstone,3
08.08.2015,Dundee,1,Hearts,2
08.08.2015,Motherwell,0,Dundee United,2
08.08.2015,Ross County,2,Hamilton,0
08.08.2015,St Johnstone,1,Inverness C,1
09.08.2015,Aberdeen,2,Kilmarnock,0
09.08.2015,Partick,0,Celtic,2
11.08.2015,Dundee United,2,Dundee,2
11.08.2015,St Johnstone,1,Ross County,1
12.08.2015,Hearts,2,Motherwell,0
12.08.2015,Inverness C,0,Partick,0
12.08.2015,Kilmarnock,2,Celtic,2
15.08.2015,Celtic,4,Inverness C,2
15.08.2015,Dundee,2,St Johnstone,1
15.08.2015,Hamilton,4,Dundee United,0
15.08.2015,Motherwell,1,Aberdeen,2
15.08.2015,Partick,2,Kilmarnock,2
15.08.2015,Ross County,1,Hearts,2
22.08.2015,Aberdeen,2,Dundee,0
22.08.2015,Dundee United,1,Celtic,3
22.08.2015,Hearts,3,Partick,0
22.08.2015,Inverness C,0,Hamilton,2
22.08.2015,Kilmarnock,0,Ross County,4
22.08.2015,St Johnstone,2,Motherwell,1
29.08.2015,Celtic,3,St Johnstone,1
29.08.2015,Dundee,1,Inverness C,1
29.08.2015,Hamilton,3,Hearts,2
29.08.2015,Motherwell,1,Kilmarnock,0
29.08.2015,Partick,0,Aberdeen,2
29.08.2015,Ross County,2,Dundee United,1
11.09.2015,Inverness C,2,Hearts,0
12.09.2015,Aberdeen,2,Celtic,1
12.09.2015,Dundee United,1,Kilmarnock,2
12.09.2015,Motherwell,1,Ross County,1
12.09.2015,Partick,0,Dundee,1
12.09.2015,St Johnstone,4,Hamilton,1
15.09.2015,Aberdeen,1,Hamilton,0
19.09.2015,Dundee United,1,Inverness C,1
19.09.2015,Hamilton,1,Motherwell,0
19.09.2015,Kilmarnock,2,St Johnstone,1
19.09.2015,Ross County,1,Partick,0
20.09.2015,Celtic,6,Dundee,0
20.09.2015,Hearts,1,Aberdeen,3
26.09.2015,Celtic,0,Hearts,0
26.09.2015,Dundee,3,Ross County,3
26.09.2015,Inverness C,2,Aberdeen,1
26.09.2015,Kilmarnock,1,Hamilton,2
26.09.2015,Motherwell,2,Partick,1
26.09.2015,St Johnstone,2,Dundee United,1
03.10.2015,Aberdeen,1,St Johnstone,5
03.10.2015,Dundee,2,Motherwell,1
03.10.2015,Hearts,1,Kilmarnock,1
03.10.2015,Partick,3,Dundee United,0
03.10.2015,Ross County,1,Inverness C,2
04.10.2015,Hamilton,1,Celtic,2
16.10.2015,Ross County,2,Aberdeen,0
17.10.2015,Hamilton,1,Dundee,1
17.10.2015,Kilmarnock,2,Inverness C,0
17.10.2015,Motherwell,0,Celtic,1
17.10.2015,St Johnstone,1,Partick,2
18.10.2015,Dundee United,0,Hearts,1
24.10.2015,Aberdeen,1,Motherwell,1
24.10.2015,Dundee,1,Kilmarnock,2
24.10.2015,Hearts,2,Ross County,0
24.10.2015,Inverness C,0,St Johnstone,1
24.10.2015,Partick,1,Hamilton,1
25.10.2015,Celtic,5,Dundee United,0
31.10.2015,Celtic,3,Aberdeen,1
31.10.2015,Dundee United,1,Ross County,0
31.10.2015,Hamilton,2,St Johnstone,4
31.10.2015,Inverness C,1,Dundee,1
31.10.2015,Kilmarnock,0,Motherwell,1
31.10.2015,Partick,0,Hearts,4
07.11.2015,Aberdeen,2,Dundee United,0
07.11.2015,Dundee,1,Partick,1
07.11.2015,Hearts,2,Hamilton,0
07.11.2015,Motherwell,1,Inverness C,3
07.11.2015,St Johnstone,2,Kilmarnock,1
08.11.2015,Ross County,1,Celtic,4
21.11.2015,Celtic,0,Kilmarnock,0
21.11.2015,Dundee United,1,St Johnstone,2
21.11.2015,Hearts,1,Dundee,1
21.11.2015,Partick,2,Inverness C,1
21.11.2015,Ross County,3,Motherwell,0
22.11.2015,Hamilton,1,Aberdeen,1
27.11.2015,St Johnstone,1,Dundee,1
28.11.2015,Aberdeen,3,Ross County,1
28.11.2015,Dundee United,1,Hamilton,2
28.11.2015,Kilmarnock,2,Partick,5
28.11.2015,Motherwell,2,Hearts,2
29.11.2015,Inverness C,1,Celtic,3
05.12.2015,Dundee,0,Aberdeen,2
05.12.2015,Kilmarnock,1,Dundee United,1
05.12.2015,Ross County,2,St Johnstone,3
12.12.2015,Aberdeen,1,Hearts,0
12.12.2015,Dundee United,0,Partick,1
12.12.2015,Hamilton,1,Ross County,3
12.12.2015,Inverness C,2,Kilmarnock,1
12.12.2015,Motherwell,3,Dundee,1
13.12.2015,St Johnstone,0,Celtic,3
19.12.2015,Celtic,1,Motherwell,2
19.12.2015,Dundee,4,Hamilton,0
19.12.2015,Inverness C,2,Dundee United,2
19.12.2015,Kilmarnock,0,Aberdeen,4
19.12.2015,Partick,1,Ross County,0
19.12.2015,St Johnstone,0,Hearts,0
26.12.2015,Aberdeen,2,Inverness C,2
26.12.2015,Hamilton,0,Kilmarnock,1
26.12.2015,Ross County,5,Dundee,2
27.12.2015,Hearts,2,Celtic,2
29.12.2015,Ross County,3,Kilmarnock,2
30.12.2015,Aberdeen,0,Partick,0
30.12.2015,Hamilton,3,Inverness C,4
30.12.2015,Hearts,3,Dundee United,2
30.12.2015,Motherwell,2,St Johnstone,0
02.01.2016,Celtic,1,Partick,0
02.01.2016,Dundee,2,Dundee United,1
02.01.2016,Inverness C,2,Ross County,0
02.01.2016,Kilmarnock,2,Hearts,2
02.01.2016,Motherwell,3,Hamilton,3
15.01.2016,Dundee United,1,Celtic,4
16.01.2016,Hearts,6,Motherwell,0
16.01.2016,Kilmarnock,2,Inverness C,1
16.01.2016,Partick,2,Dundee,4
16.01.2016,St Johnstone,0,Hamilton,0
17.01.2016,Ross County,2,Aberdeen,3
19.01.2016,Celtic,8,Hamilton,1
