Date,HomeTeam,FTHG,AwayTeam,FTAG
14.08.2015,Fenerbahce,2,Eskisehirspor,0
15.08.2015,Buyuksehyr,2,Antalyaspor,3
15.08.2015,Sivasspor,2,Galatasaray,2
15.08.2015,Trabzonspor,1,Bursaspor,0
16.08.2015,Gaziantepspor,0,Kasimpasa,3
16.08.2015,Konyaspor,1,Akhisar Belediyespor,1
16.08.2015,Mersin Idman Yurdu,2,Besiktas,5
16.08.2015,Osmanlispor,1,Kayserispor,1
17.08.2015,Genclerbirligi,2,Rizespor,3
21.08.2015,Kasimpasa,1,Buyuksehyr,0
22.08.2015,Akhisar Belediyespor,2,Mersin Idman Yurdu,0
22.08.2015,Besiktas,1,Trabzonspor,2
22.08.2015,Kayserispor,1,Konyaspor,1
23.08.2015,Antalyaspor,3,Genclerbirligi,1
23.08.2015,Bursaspor,0,Gaziantepspor,1
23.08.2015,Eskisehirspor,4,Sivasspor,2
23.08.2015,Rizespor,1,Fenerbahce,1
24.08.2015,Galatasaray,1,Osmanlispor,2
28.08.2015,Gaziantepspor,0,Besiktas,4
29.08.2015,Buyuksehyr,2,Bursaspor,1
29.08.2015,Genclerbirligi,1,Kasimpasa,0
29.08.2015,Konyaspor,1,Galatasaray,4
29.08.2015,Mersin Idman Yurdu,1,Kayserispor,2
30.08.2015,Eskisehirspor,1,Rizespor,1
30.08.2015,Fenerbahce,2,Antalyaspor,1
30.08.2015,Sivasspor,1,Osmanlispor,1
30.08.2015,Trabzonspor,2,Akhisar Belediyespor,2
12.09.2015,Akhisar Belediyespor,0,Gaziantepspor,0
12.09.2015,Antalyaspor,2,Eskisehirspor,0
12.09.2015,Bursaspor,3,Genclerbirligi,2
12.09.2015,Galatasaray,1,Mersin Idman Yurdu,1
13.09.2015,Besiktas,2,Buyuksehyr,0
13.09.2015,Kasimpasa,0,Fenerbahce,1
13.09.2015,Osmanlispor,1,Konyaspor,2
13.09.2015,Rizespor,1,Sivasspor,1
14.09.2015,Kayserispor,0,Trabzonspor,1
18.09.2015,Buyuksehyr,2,Akhisar Belediyespor,0
18.09.2015,Mersin Idman Yurdu,0,Osmanlispor,4
19.09.2015,Eskisehirspor,0,Kasimpasa,3
19.09.2015,Rizespor,5,Antalyaspor,1
19.09.2015,Sivasspor,0,Konyaspor,0
19.09.2015,Trabzonspor,0,Galatasaray,1
20.09.2015,Fenerbahce,2,Bursaspor,1
20.09.2015,Gaziantepspor,1,Kayserispor,0
21.09.2015,Genclerbirligi,1,Besiktas,1
26.09.2015,Akhisar Belediyespor,1,Genclerbirligi,0
26.09.2015,Galatasaray,2,Gaziantepspor,1
26.09.2015,Osmanlispor,3,Trabzonspor,1
27.09.2015,Antalyaspor,1,Sivasspor,1
27.09.2015,Besiktas,3,Fenerbahce,2
27.09.2015,Konyaspor,2,Mersin Idman Yurdu,0
28.09.2015,Bursaspor,2,Eskisehirspor,0
28.09.2015,Kasimpasa,1,Rizespor,1
28.09.2015,Kayserispor,0,Buyuksehyr,1
02.10.2015,Sivasspor,2,Mersin Idman Yurdu,2
02.10.2015,Trabzonspor,1,Konyaspor,2
03.10.2015,Buyuksehyr,0,Galatasaray,2
03.10.2015,Gaziantepspor,2,Osmanlispor,1
03.10.2015,Genclerbirligi,2,Kayserispor,0
04.10.2015,Antalyaspor,0,Kasimpasa,0
04.10.2015,Eskisehirspor,1,Besiktas,2
04.10.2015,Fenerbahce,2,Akhisar Belediyespor,2
04.10.2015,Rizespor,2,Bursaspor,3
17.10.2015,Bursaspor,0,Antalyaspor,2
17.10.2015,Galatasaray,4,Genclerbirligi,1
17.10.2015,Konyaspor,2,Gaziantepspor,1
18.10.2015,Akhisar Belediyespor,1,Eskisehirspor,0
18.10.2015,Besiktas,1,Rizespor,0
18.10.2015,Kasimpasa,2,Sivasspor,1
18.10.2015,Kayserispor,0,Fenerbahce,1
19.10.2015,Mersin Idman Yurdu,3,Trabzonspor,2
19.10.2015,Osmanlispor,0,Buyuksehyr,3
23.10.2015,Eskisehirspor,1,Kayserispor,3
23.10.2015,Rizespor,0,Akhisar Belediyespor,2
24.10.2015,Gaziantepspor,1,Mersin Idman Yurdu,0
24.10.2015,Genclerbirligi,1,Osmanlispor,0
24.10.2015,Kasimpasa,0,Bursaspor,1
24.10.2015,Sivasspor,0,Trabzonspor,2
25.10.2015,Buyuksehyr,4,Konyaspor,0
25.10.2015,Fenerbahce,1,Galatasaray,1
26.10.2015,Antalyaspor,1,Besiktas,5
28.10.2015,Bursaspor,1,Sivasspor,0
28.10.2015,Kayserispor,0,Rizespor,0
28.10.2015,Trabzonspor,2,Gaziantepspor,2
29.10.2015,Galatasaray,4,Eskisehirspor,0
29.10.2015,Mersin Idman Yurdu,1,Buyuksehyr,1
29.10.2015,Osmanlispor,0,Fenerbahce,1
30.10.2015,Akhisar Belediyespor,2,Antalyaspor,1
30.10.2015,Besiktas,3,Kasimpasa,3
30.10.2015,Konyaspor,0,Genclerbirligi,0
06.11.2015,Eskisehirspor,0,Osmanlispor,2
06.11.2015,Genclerbirligi,1,Mersin Idman Yurdu,1
07.11.2015,Antalyaspor,1,Kayserispor,1
07.11.2015,Buyuksehyr,1,Trabzonspor,0
07.11.2015,Kasimpasa,2,Akhisar Belediyespor,1
07.11.2015,Rizespor,4,Galatasaray,3
08.11.2015,Bursaspor,0,Besiktas,1
08.11.2015,Fenerbahce,1,Konyaspor,0
08.11.2015,Sivasspor,3,Gaziantepspor,0
21.11.2015,Akhisar Belediyespor,3,Bursaspor,1
21.11.2015,Galatasaray,3,Antalyaspor,3
21.11.2015,Kayserispor,0,Kasimpasa,0
21.11.2015,Mersin Idman Yurdu,1,Fenerbahce,3
22.11.2015,Besiktas,2,Sivasspor,0
22.11.2015,Konyaspor,3,Eskisehirspor,2
22.11.2015,Osmanlispor,0,Rizespor,1
22.11.2015,Trabzonspor,1,Genclerbirligi,0
23.11.2015,Gaziantepspor,0,Buyuksehyr,1
27.11.2015,Antalyaspor,1,Osmanlispor,1
27.11.2015,Bursaspor,1,Kayserispor,2
27.11.2015,Rizespor,0,Konyaspor,0
28.11.2015,Eskisehirspor,3,Mersin Idman Yurdu,2
28.11.2015,Sivasspor,2,Buyuksehyr,2
29.11.2015,Besiktas,0,Akhisar Belediyespor,2
29.11.2015,Genclerbirligi,2,Gaziantepspor,2
29.11.2015,Kasimpasa,2,Galatasaray,2
30.11.2015,Fenerbahce,2,Trabzonspor,0
04.12.2015,Galatasaray,3,Bursaspor,0
05.12.2015,Kayserispor,1,Besiktas,2
05.12.2015,Konyaspor,3,Antalyaspor,2
05.12.2015,Osmanlispor,0,Kasimpasa,1
06.12.2015,Buyuksehyr,2,Genclerbirligi,0
06.12.2015,Gaziantepspor,2,Fenerbahce,2
06.12.2015,Mersin Idman Yurdu,3,Rizespor,0
07.12.2015,Akhisar Belediyespor,1,Sivasspor,0
07.12.2015,Trabzonspor,3,Eskisehirspor,1
11.12.2015,Bursaspor,0,Osmanlispor,4
12.12.2015,Antalyaspor,3,Mersin Idman Yurdu,2
12.12.2015,Eskisehirspor,1,Gaziantepspor,2
12.12.2015,Kasimpasa,2,Konyaspor,1
12.12.2015,Rizespor,3,Trabzonspor,0
13.12.2015,Fenerbahce,1,Buyuksehyr,0
13.12.2015,Genclerbirligi,0,Sivasspor,1
13.12.2015,Kayserispor,3,Akhisar Belediyespor,2
14.12.2015,Besiktas,2,Galatasaray,1
19.12.2015,Gaziantepspor,2,Rizespor,0
19.12.2015,Konyaspor,1,Bursaspor,0
19.12.2015,Mersin Idman Yurdu,1,Kasimpasa,2
19.12.2015,Trabzonspor,3,Antalyaspor,0
20.12.2015,Buyuksehyr,2,Eskisehirspor,1
20.12.2015,Galatasaray,3,Akhisar Belediyespor,2
20.12.2015,Genclerbirligi,0,Fenerbahce,1
20.12.2015,Sivasspor,0,Kayserispor,0
21.12.2015,Osmanlispor,2,Besiktas,3
26.12.2015,Antalyaspor,0,Gaziantepspor,0
26.12.2015,Kasimpasa,1,Trabzonspor,1
26.12.2015,Rizespor,2,Buyuksehyr,1
27.12.2015,Akhisar Belediyespor,0,Osmanlispor,0
27.12.2015,Besiktas,4,Konyaspor,0
27.12.2015,Bursaspor,2,Mersin Idman Yurdu,1
27.12.2015,Kayserispor,1,Galatasaray,1
28.12.2015,Eskisehirspor,2,Genclerbirligi,0
28.12.2015,Fenerbahce,2,Sivasspor,1
16.01.2016,Akhisar Belediyespor,0,Konyaspor,2
16.01.2016,Galatasaray,3,Sivasspor,1
16.01.2016,Kasimpasa,1,Gaziantepspor,2
16.01.2016,Kayserispor,1,Osmanlispor,0
17.01.2016,Antalyaspor,1,Buyuksehyr,2
17.01.2016,Bursaspor,4,Trabzonspor,2
17.01.2016,Rizespor,2,Genclerbirligi,3
18.01.2016,Eskisehirspor,0,Fenerbahce,3
23.01.2016,Konyaspor,1,Kayserispor,0
23.01.2016,Mersin Idman Yurdu,0,Akhisar Belediyespor,0
23.01.2016,Osmanlispor,3,Galatasaray,2
24.01.2016,Fenerbahce,2,Rizespor,1
